Year,RESI,SZSE
2010-11-01,1520.756,1341.84
2010-11-02,1529.547,1333.29
2010-11-03,1526.486,1309.41
2010-11-04,1529.966,1335.66
2010-11-05,1544.587,1352.12
2010-11-08,1578.212,1376.29
2010-11-09,1546.515,1380.59
2010-11-10,1508.108,1389.54
2010-11-11,1508.854,1381.49
2010-11-12,1413.945,1296.95
2010-11-15,1422.956,1327.99
2010-11-16,1363.592,1281.7
2010-11-17,1350.85,1238.97
2010-11-18,1365.537,1260.59
2010-11-19,1373.468,1297.48
2010-11-22,1376.095,1313.57
2010-11-23,1348.985,1300.63
2010-11-24,1368.354,1333.74
2010-11-25,1411.532,1337.94
2010-11-26,1383.726,1332.9
2010-11-29,1377.539,1339.31
2010-11-30,1360.474,1307.83
2010-12-01,1365.325,1304.39
2010-12-02,1372.381,1310.7
2010-12-03,1389.94,1302.26
2010-12-06,1390.772,1287.37
2010-12-07,1413.565,1309.44
2010-12-08,1392.883,1305.25
2010-12-09,1352.644,1280.82
2010-12-10,1353.233,1298.25
2010-12-13,1389.446,1338.43
2010-12-14,1404.768,1350.75
2010-12-15,1397.628,1345.18
2010-12-16,1411.66,1346.83
2010-12-17,1403.185,1348.56
2010-12-20,1382.762,1331.75
2010-12-21,1475.877,1349.14
2010-12-22,1453.297,1338.2
2010-12-23,1438.327,1315.72
2010-12-24,1464.87,1292.02
2010-12-27,1417.937,1260.53
2010-12-28,1357.571,1237.15
2010-12-29,1370.754,1255.66
2010-12-30,1355.227,1261.11
2010-12-31,1376.971,1290.87
2011-01-04,1301.236,1311.33
2011-01-05,1012.051,1310.14
2011-01-06,987.2282,1301.79
2011-01-07,986.3092,1292.06
2011-01-10,1020.512,1258.86
2011-01-11,1048.756,1251.68
2011-01-12,1044.119,1257.17
2011-01-13,1053.366,1257.32
2011-01-14,1027.357,1232.73
2011-01-17,1005.601,1180.39
2011-01-18,1048.866,1183.48
2011-01-19,1029.782,1211.64
2011-01-20,1049.363,1170.47
2011-01-21,1065.32,1178.16
2011-01-24,1042.868,1150.04
2011-01-25,1048.216,1136.58
2011-01-26,1037.517,1154.42
2011-01-27,1057.149,1174.67
2011-01-28,1070.289,1185.68
2011-01-31,1063.215,1197.67
2011-02-01,1037.295,1198.19
2011-02-09,1063.064,1186.22
2011-02-10,1085.891,1220.58
2011-02-11,1111.629,1234.18
2011-02-14,1092.883,1262.11
2011-02-15,1106.044,1261.6
2011-02-16,1118.809,1283.26
2011-02-17,1114.814,1286.73
2011-02-18,1113.924,1273.42
2011-02-21,1129.582,1297.66
2011-02-22,1150.459,1262.82
2011-02-23,1186.075,1273.92
2011-02-24,1196.694,1279.64
2011-02-25,1258.321,1280.3
2011-02-28,1266.703,1295.81
2011-03-01,1257.03,1298.87
2011-03-02,1223.58,1292.99
2011-03-03,1229.13,1272
2011-03-04,1280.945,1286.22
2011-03-07,1269.109,1303.48
2011-03-08,1260.355,1307.71
2011-03-09,1248.228,1311.34
2011-03-10,1267.116,1302.65
2011-03-11,1274.888,1299.69
2011-03-14,1258.275,1310.99
2011-03-15,1274.467,1293.61
2011-03-16,1214.28,1307.96
2011-03-17,1175.54,1284.96
2011-03-18,1189.68,1292.93
2011-03-21,1195.447,1285.69
2011-03-22,1192.647,1284.84
2011-03-23,1191.027,1299.99
2011-03-24,1204.772,1299.53
2011-03-25,1178.769,1308.18
2011-03-28,1171.628,1299.5
2011-03-29,1168.429,1275.28
2011-03-30,1147.801,1264.59
2011-03-31,1163.203,1253.68
2011-04-01,1175.05,1266.55
2011-04-06,1201.128,1262.46
2011-04-07,1207.602,1271.32
2011-04-08,1189.401,1285.99
2011-04-11,1211.794,1275.52
2011-04-12,1232.734,1272.21
2011-04-13,1260.861,1286.71
2011-04-14,1264.323,1283.24
2011-04-15,1270.161,1281.5
2011-04-18,1235.493,1281.99
2011-04-19,1269.151,1269.32
2011-04-20,1261.712,1274.25
2011-04-21,1273.887,1282.24
2011-04-22,1264.373,1274.73
2011-04-25,1274.286,1249.58
2011-04-26,1323.361,1232.8
2011-04-27,1320.159,1217.75
2011-04-28,1310.811,1183.7
2011-04-29,1328.855,1200.62
2011-05-03,1318.863,1214.12
2011-05-04,1323.049,1187.28
2011-05-05,1319.464,1190.8
2011-05-06,1318.416,1195.31
2011-05-09,1294.817,1203.07
2011-05-10,1291.83,1210.23
2011-05-11,1282.271,1212.27
2011-05-12,1292.178,1194.88
2011-05-13,1292.817,1201.37
2011-05-16,1262.049,1198.72
2011-05-17,1276.811,1197.04
2011-05-18,1253.755,1202.7
2011-05-19,1256.464,1197.31
2011-05-20,1294.296,1192.66
2011-05-23,1309.396,1149.39
2011-05-24,1291.765,1150.91
2011-05-25,1286.859,1134.19
2011-05-26,1318.052,1123.15
2011-05-27,1334.229,1101.11
2011-05-30,1347.768,1090.5
2011-05-31,1341.221,1111.9
2011-06-01,1337.476,1122.29
2011-06-02,1297.511,1105.95
2011-06-03,1297.59,1124.32
2011-06-07,1286.698,1132.69
2011-06-08,1294.352,1136.53
2011-06-09,1296.557,1113.02
2011-06-10,1330.646,1113.32
2011-06-13,1342.378,1110.89
2011-06-14,1353.477,1128.42
2011-06-15,1338.715,1118.17
2011-06-16,1317.894,1097.17
2011-06-17,1326.949,1085.11
2011-06-20,1302.646,1073.19
2011-06-21,1297.568,1088.77
2011-06-22,1301.457,1088.35
2011-06-23,1262.977,1111.18
2011-06-24,1270.853,1136.39
2011-06-27,1267.989,1148.63
2011-06-28,1251.571,1152
2011-06-29,1260.506,1139.86
2011-06-30,1272.308,1155.89
2011-07-01,1290.085,1162.07
2011-07-04,1285.04,1188.91
2011-07-05,1283.676,1195.83
2011-07-06,1325.289,1200.58
2011-07-07,1295.396,1202.32
2011-07-08,1272.725,1201.5
2011-07-11,1264.621,1210.34
2011-07-12,1294.039,1192.49
2011-07-13,1292.153,1214.83
2011-07-14,1252.945,1223.73
2011-07-15,1270.503,1232.84
2011-07-18,1242.783,1232.54
2011-07-19,1246.518,1217.03
2011-07-20,1231.558,1219.46
2011-07-21,1217.155,1206.08
2011-07-22,1234.785,1211.15
2011-07-25,1212.167,1165.7
2011-07-26,1192.378,1171.27
2011-07-27,1193.328,1190.83
2011-07-28,1181.95,1189.13
2011-07-29,1187.754,1178.7
2011-08-01,1200.297,1183.98
2011-08-02,1141.922,1179.99
2011-08-03,1151.44,1185.17
2011-08-04,1170.112,1187.9
2011-08-05,1185.428,1164.95
2011-08-08,1192.666,1113.37
2011-08-09,1207.162,1111.4
2011-08-10,1192.062,1127.03
2011-08-11,1151.963,1147.17
2011-08-12,1163.968,1158.96
2011-08-15,1158.649,1175.41
2011-08-16,1158.755,1166.84
2011-08-17,1156.503,1163.87
2011-08-18,1146.264,1142.91
2011-08-19,1143.741,1133.84
2011-08-22,1123.384,1124.17
2011-08-23,1128.627,1144.05
2011-08-24,1116.337,1144.74
2011-08-25,1104.099,1166.79
2011-08-26,1096.744,1169.95
2011-08-29,1092.959,1159.52
2011-08-30,1085.747,1148.29
2011-08-31,1091.929,1143.34
2011-09-01,1119.74,1136.75
2011-09-02,1105.806,1124.44
2011-09-05,1116.213,1097.07
2011-09-06,1122.607,1085.35
2011-09-07,1161.704,1111.23
2011-09-08,1164.142,1100.53
2011-09-09,1149.969,1094.03
2011-09-13,1154.734,1077.13
2011-09-14,1144.856,1087.5
2011-09-15,1144.5,1089.83
2011-09-16,1102.51,1089.99
2011-09-19,1099.908,1067.48
2011-09-20,1104.192,1071.6
2011-09-21,1079.63,1102.29
2011-09-22,1079.512,1070.78
2011-09-23,1087.335,1060.67
2011-09-26,1087.545,1043.47
2011-09-27,1068.791,1047.68
2011-09-28,1099.744,1032.18
2011-09-29,1129.097,1006.11
2011-09-30,1109.342,1004.52
2011-10-10,1134.451,997.84
2011-10-11,1141.777,992.31
2011-10-12,1129.086,1027.06
2011-10-13,1132.398,1039.89
2011-10-14,1125.644,1035.62
2011-10-17,1127.475,1040.81
2011-10-18,1121.752,1010.46
2011-10-19,1164.76,1004.2
2011-10-20,1168.093,974.86
2011-10-21,1182.267,959.12
2011-10-24,1176.041,977.03
2011-10-25,1171.703,1002.9
2011-10-26,1156.74,1012.7
2011-10-27,1142.328,1013.19
2011-10-28,1146.643,1035.88
2011-10-31,1162.417,1040.93
2011-11-01,1167.38,1041.51
2011-11-02,1214.023,1060.17
