date,sse180,rate,sh.600009,sh.600010,sh.600295,sh.600019,sh.600028,sh.600031,sh.600036,sh.600048,sh.600050,sh.600066,sh.600068,sh.600085,sh.600111,sh.601628,sh.600150,sh.600196,sh.600295,sh.600406,sh.601933,sh.600536,sh.600547,sh.600598,sh.600600,sh.600690,sh.600875,sh.600887,sh.600895,sh.601006,sh.601877,sh.601899
2011-01-04,6651.797,0.0001,12.37,3.91,19.79,6.55,8.2,21.63,13.02,13.96,5.36,21.03,11.87,33.67,72.23,21.77,68.62,13.63,19.79,72.97,33.64,22.77,53,13.45,35.03,28,35.01,39.15,8.99,7.92,24.18,8.35
2011-01-05,6625.325,0.0001,13.09,3.84,20.06,6.45,8.11,22,12.97,14.01,5.44,20.63,12.39,33.9,72.31,21.37,68.81,13.48,20.06,71.25,33.08,22.57,50.66,13.49,34.39,27.86,35.91,38.91,8.95,7.84,24.58,8.11
2011-01-06,6589.212,0.0001,13.17,3.84,20.78,6.46,8.08,21.52,12.9,14.38,5.34,22.34,12.5,33.1,74.13,21.44,66.83,13.31,20.78,72.14,33.13,22.32,50.05,13.57,34.47,27.7,34.8,36.88,8.98,7.85,24.22,7.99
2011-01-07,6621.007,0.0001,12.99,3.86,19.96,6.56,8.18,21.25,13.25,14.39,5.42,22.63,12.31,32.6,71.39,21.79,68.12,13.39,19.96,70.2,32.23,22.35,48.99,13.37,35.06,27.68,33.73,36.72,9.09,7.9,24.03,7.89
2011-01-10,6507.359,0.0001,12.6,3.76,19.61,6.52,8.2,20.99,13.02,13.96,5.39,22.61,12.34,31.99,71.65,21.51,70.87,12.91,19.61,65.14,31.97,21.78,49.2,13.43,33.99,26.89,33.63,35.79,8.88,7.94,23.88,7.78
2011-01-11,6556.502,0.0001,12.77,3.79,20.05,6.7,8.36,21.05,13.19,14.74,5.51,22.39,12.46,32,70.37,21.62,70.97,12.86,20.05,65.49,31.19,22.05,48.45,13.64,33.85,27.2,32.49,35.67,8.95,8.1,23.92,7.79
2011-01-12,6606.101,0.0001,13.09,3.92,19.97,6.83,8.36,20.94,13.27,15.11,5.51,22.7,12.93,32.13,70.58,21.9,70.91,12.94,19.97,62.5,31.61,22.69,48.18,13.62,33.39,27.15,32.49,35,9.06,8.12,23.75,7.8
2011-01-13,6598.464,0.0001,13.17,3.85,19.44,6.77,8.53,20.86,13.2,14.87,5.58,22.93,12.43,32.49,70.63,21.83,69.14,13,19.44,64.7,31.41,22.72,47.18,13.45,33.63,27.23,32.7,35.55,9.12,8.34,23.8,7.76
2011-01-14,6489.148,0.0001,13.33,3.82,18.49,6.71,8.59,20.43,13.05,14.89,5.56,22.82,12.55,31.64,67.21,21.43,69.01,12.91,18.49,63.74,29.99,21.61,45.91,13.51,33.16,27.23,31.4,35.02,8.98,8.24,22.94,7.51
2011-01-17,6261.718,0.0001,13.24,3.67,17.76,6.53,8.39,19.2,12.71,13.6,5.48,21.62,12.34,29.64,64.55,20.98,65.78,12.17,17.76,61.9,28.69,20.7,44.17,13.61,32.01,24.78,30.34,34.72,8.68,8.21,22.01,7.22
2011-01-18,6264.106,0.0001,12.98,3.64,17.93,6.53,8.46,18.94,12.67,13.6,5.41,21.36,11.82,29.95,65.19,21.05,67.79,12.13,17.93,63.39,29.36,20.57,45.31,13.59,32.21,25.3,30.33,35.27,8.65,8.27,21.48,7.21
2011-01-19,6392.523,0.0001,13.41,3.73,18.47,6.59,8.65,19.59,12.77,13.91,5.51,22.83,12.81,30.48,66.75,21.22,70.89,12.24,18.47,64.26,29.49,20.99,46.32,13.63,32.34,25.73,31.39,35.67,8.74,8.37,21.57,7.35
2011-01-20,6187.471,0.0001,13.13,3.62,18.26,6.4,8.43,19.13,12.52,13.03,5.48,22.27,12.43,28.97,62.72,20.77,69.84,11.62,18.26,65.62,27.65,19.91,44.15,13.2,30.85,24.9,30.04,34.9,8.63,8.11,20.71,7.04
2011-01-21,6281.069,0.0001,13.6,3.66,18.26,6.56,8.7,19.32,12.71,13.48,5.69,22.6,13.03,29.15,61.95,21.01,72.05,11.81,18.26,67.06,27.86,19.97,43.62,13.13,30.6,24.97,30.36,34.31,8.81,8.4,20.6,7.02
2011-01-24,6229.826,0.0001,13.4,3.66,17.3,6.63,8.8,19.06,12.58,13.6,5.78,22.3,13.4,28.35,59.06,20.83,71.8,11.95,17.3,65.54,27.9,19.52,43.19,12.62,30.57,24.52,30.42,34.76,8.7,8.6,19.53,6.89
2011-01-25,6202.753,0.0001,13.55,3.69,17.42,6.76,8.67,19.16,12.63,13.7,5.71,21.87,12.51,28.27,56.99,20.88,67.45,11.77,17.42,66.91,27.44,19.38,41.72,12.46,30.72,24.99,28.99,34.95,8.7,8.51,18.94,6.68
2011-01-26,6283.106,0.0001,13.57,3.72,17.79,6.86,8.7,19.59,12.71,13.84,5.81,21.87,13.28,29.21,57.38,21.05,71.81,11.78,17.79,67.96,27.71,19.73,41.96,12.47,31.21,24.75,30.31,35.19,8.76,8.57,19.51,6.74
2011-01-27,6375.473,0.0001,13.84,3.75,18.02,6.86,8.82,20.28,12.71,13.24,5.98,23.39,13.73,30.09,58.55,21.23,73.72,11.78,18.02,69.2,28.23,19.99,43.04,12.69,31.21,24.49,33.34,34.88,8.66,8.72,19.77,6.91
2011-01-28,6381.938,0.0001,13.67,3.81,18.07,6.8,8.74,21.65,12.59,13.08,6.11,24.25,14.28,30,59.87,21.11,74.68,12.04,18.07,69.85,27.62,20.2,42.81,12.98,31.18,24.63,33.26,35.15,8.71,8.68,19.85,6.96
2011-01-31,6464.507,0.0001,14.04,3.86,18.45,6.91,9,22.32,12.63,12.95,6.1,25.03,15.71,30.39,60.05,21.2,77.98,12.03,18.45,70.76,27.91,20.38,46.01,13.57,32.5,24.63,33.58,35.64,8.72,8.66,20.15,7.23
2011-02-01,6469.963,0.0001,14.21,3.86,18.17,6.86,9.02,21.85,12.7,12.9,6.07,24.99,15.14,30.65,63.51,21.13,76.91,11.95,18.17,70.44,28.34,20.54,45.96,13.57,32.79,25.19,33.69,35.3,8.77,8.59,20.1,7.2
2011-02-09,6395.181,0.0001,13.89,3.79,17.65,6.82,8.93,22.02,12.6,12.51,6.21,24.67,15.42,30.19,62.11,21.01,76.95,11.94,17.65,66.99,27.58,20.62,44.98,14.7,32.1,25.5,34.14,35.91,8.62,8.45,19.62,7.18
2011-02-10,6509.924,0.0001,14.04,3.84,18.25,6.9,8.93,22.34,12.71,12.76,6.22,25.89,14.65,31.25,63.26,21.3,75.81,12.3,18.25,69.06,28.79,21.66,45.34,15.2,32.29,27.4,34.3,37.35,8.79,8.49,20.31,7.26
2011-02-11,6531.503,0.0001,13.95,3.86,18.88,6.99,8.89,23.06,12.71,13.06,6.08,25.73,14.64,31.2,63.55,21.37,77.06,12.43,18.88,70.35,28.77,21.41,45.33,14.99,32.28,27.81,34.49,37.27,9.67,8.48,20.71,7.25
2011-02-14,6734.991,0.0001,14.49,3.97,19.19,7.23,9.09,23.49,13.26,13.41,6.17,25.89,14.72,31.72,65.82,22.2,77.14,12.55,19.19,72.28,29.18,21.64,46.43,15.3,33.06,28.35,35.02,37.26,10.05,8.78,20.82,7.47
2011-02-15,6730.239,0.0001,14.61,4.01,19.31,7.18,9.19,23.22,13.19,13.47,6.11,26.08,14.91,32.04,70.07,22.01,76.22,12.49,19.31,72.55,28.65,21.79,46.87,15.27,32.86,28.3,34.38,37.64,10.18,8.73,20.84,7.59
2011-02-16,6776.59,0.0001,14.81,4.12,19.58,7.38,9.27,24.12,13.12,13.31,5.99,26.77,14.63,31.54,73.62,22.03,76.89,12.9,19.58,72.07,29.05,21.78,47.6,15.16,32.68,28.62,34.72,37.54,10.37,8.71,21.29,7.62
2011-02-17,6770.875,0.0001,14.77,4.53,20.02,7.36,9.27,23.99,13.12,12.97,6.01,26.6,14.79,31.06,74.92,21.9,79.96,12.88,20.02,74.84,28.91,21.8,47.91,15.58,32.33,29.06,35.98,36.34,10.82,8.63,21.34,7.54
