,date,sse180,rate,sh.600009,sh.600010,sh.600295,sh.600019,sh.600028,sh.600031,sh.600036,sh.600048,sh.600050,sh.600066,sh.600068,sh.600085,sh.600111,sh.601628,sh.600150,sh.600196,sh.600295.1,sh.600406,sh.601933,sh.600536,sh.600547,sh.600598,sh.600600,sh.600690,sh.600875,sh.600887,sh.600895,sh.601006,sh.601877,sh.601899
1,2013-10-08,5275.141,0.01%,14.98,4.08,6.99,4.24,4.47,7.64,10.91,10.38,3.61,18.62,4.12,22.22,28.26,13.96,18.79,13.66,6.99,14.86,14.13,33.21,22.25,12.23,42.65,13.81,11.96,44.9,8.55,7.14,22.62,2.6
2,2013-10-09,5298.426,0.01%,15.15,4.05,6.98,4.23,4.49,7.61,10.96,10.21,3.57,18.29,4.15,22,28.61,13.99,18.4,13.54,6.98,14.69,13.82,36.23,22.14,13.45,42.32,14.31,11.89,46.31,8.55,7.06,22.75,2.59
3,2013-10-10,5228.953,0.01%,14.67,4.03,6.8,4.2,4.44,7.44,10.78,10.14,3.47,17.84,4.19,21.98,27.87,13.67,18.06,14.81,6.8,14.95,14.02,36.36,21.79,12.94,41.9,15.74,11.73,46.76,8.48,7,22.88,2.57
4,2013-10-11,5327.928,0.01%,15.25,4.08,6.99,4.25,4.47,7.58,10.94,10.17,3.5,17.95,4.22,22.24,27.93,13.94,18.56,15.55,6.99,14.94,14.26,35.54,21.93,12.75,43.46,15.82,12.07,46.36,9,7.09,23.15,2.59
5,2013-10-14,5326.885,0.01%,15.87,4.1,7.18,4.26,4.45,7.74,10.8,9.9,3.48,17.82,4.3,22.6,27.13,14.04,18.69,15.37,7.18,14.45,15.23,36.04,21.72,13.34,46.87,15.95,12.29,45.43,8.82,7.3,25.47,2.59
6,2013-10-15,5314.691,0.01%,15.91,4.06,7.13,4.22,4.42,7.9,10.73,9.84,3.52,17.98,4.26,23.14,27.9,14.01,18.37,16.91,7.13,14.5,15.05,38.11,21.86,12.81,46.94,16.03,12.33,46.74,9.7,7.16,26.59,2.59
7,2013-10-16,5222.076,0.01%,15.1,4.02,7,4.21,4.38,7.57,10.73,9.61,3.41,17.47,4.15,22.71,26.99,13.74,17.87,16.9,7,14.19,14.79,37.07,22.5,11.82,46.89,15.39,11.99,46.7,8.74,7.08,26.61,2.63
8,2013-10-17,5201.671,0.01%,15.05,4.09,7.11,4.22,4.38,7.48,10.6,9.64,3.39,17.41,4.2,22.28,26.99,13.7,17.88,16.33,7.11,14.16,14.55,40.03,21.79,12.05,46.44,15.11,11.92,46.65,8.45,6.98,26.69,2.57
9,2013-10-18,5224.235,0.01%,15.01,4.08,7.27,4.23,4.37,7.52,10.63,9.71,3.41,17.36,4.16,22.28,26.97,13.76,18.15,17.96,7.27,14.48,15.02,44.03,22.1,11.92,46.92,15.21,11.76,48.7,8.53,6.97,25.92,2.59
10,2013-10-21,5314.212,0.01%,15.22,4.06,7.33,4.23,4.4,7.55,10.76,9.76,3.46,17.78,4.23,22.35,27.14,13.94,18.2,19.76,7.33,14.28,15.06,48.43,22.13,12.11,48.89,16.73,12.06,51.29,8.79,7.01,27.26,2.62
11,2013-10-22,5259.757,0.01%,14.85,4,7.5,4.2,4.39,7.58,10.63,9.59,3.42,17.83,4.32,22.12,26.77,13.79,17.92,19.58,7.5,13.61,14.46,46.89,21.91,12.11,47.57,16.56,12.12,50.99,8.46,6.97,28.97,2.6
12,2013-10-23,5218.655,0.01%,14.71,3.96,7.24,4.16,4.36,7.44,10.68,9.59,3.37,17.93,4.21,21.72,27.31,13.74,17.75,18.6,7.24,13.41,13.48,43.23,22.01,11.14,46.52,16.21,11.87,48.9,8.23,6.98,27.77,2.6
13,2013-10-24,5172.403,0.01%,14.57,3.93,7.13,4.11,4.32,7.22,10.63,9.42,3.44,17.89,4.18,21.75,26.67,13.5,17.46,19.15,7.13,13.59,13.3,47.55,21.8,10.9,46.2,16.38,11.61,47.57,8.16,6.93,28.61,2.57
14,2013-10-25,5111.499,0.01%,13.98,3.87,6.99,4.04,4.27,7.13,10.61,9.42,3.36,17.77,4.09,21.18,25.8,13.43,17.09,17.84,6.99,13.16,13.18,45,21.43,10.91,45.52,15.39,11.44,45.44,7.7,6.88,28.59,2.51
15,2013-10-28,5111.09,0.01%,14.15,3.9,6.94,4.06,4.28,7.2,10.62,9.19,3.35,17.17,4.15,20.93,25.16,13.56,17.31,17.92,6.94,12.71,13.91,43.27,21.44,12,47.38,16.22,11.41,44.67,7.88,7.07,28.51,2.5
16,2013-10-29,5136.402,0.01%,13.91,3.81,6.79,4.03,4.34,7.05,10.85,9.14,3.33,16.24,4.09,20.28,24.99,13.85,16.85,17.85,6.79,12.23,13.24,41.29,20.98,12.99,47.13,15.82,11.14,44.03,7.61,7.2,27.68,2.47
17,2013-10-30,5202.422,0.01%,14.5,3.84,6.91,4.07,4.49,7.15,10.91,9.34,3.37,16.32,4.19,20.26,25.13,13.99,17.14,18.38,6.91,12.83,13.98,42,20.99,12.81,46.28,16.04,11.32,45.7,7.62,7.37,29,2.48
18,2013-10-31,5127.417,0.01%,14.8,3.92,7.03,4.06,4.51,7.1,10.74,9.51,3.44,15.99,4.2,18.99,25.18,14.02,17.05,17.23,7.03,13.08,13.82,44.03,20.56,11.91,45.49,15.53,11.56,41.13,7.38,7.36,26.1,2.47
19,2013-11-01,5163.11,0.01%,14.91,3.92,6.99,4.08,4.53,7.09,10.91,9.7,3.41,16.29,4.26,18.98,26.4,14.2,17.26,17.23,6.99,13.33,13.83,42.38,20.39,11.45,46.19,15.78,11.58,39.5,7.51,7.48,26.66,2.47
20,2013-11-04,5153.39,0.01%,14.81,3.92,6.97,4.08,4.52,7.07,10.8,9.58,3.4,16.39,4.25,19.16,26.42,14.1,17.29,17.07,6.97,13.27,14.02,42.72,20.37,11.7,45.59,16.46,11.53,39.59,7.46,7.34,25.81,2.47
21,2013-11-05,5151.294,0.01%,14.73,3.92,7.01,4.09,4.62,7.05,10.75,9.51,3.39,16.58,4.21,18.99,27.07,14,17.18,17.47,7.01,12.9,14.13,46.99,20.38,12.87,44.32,16.19,11.64,39.87,7.64,7.4,26.14,2.47
22,2013-11-06,5090.441,0.01%,14.79,3.92,7,4.1,4.72,7.03,10.62,9.31,3.37,16.5,4.14,18.75,27.17,13.79,17.01,16.59,7,12.62,14.12,46.88,20.24,12.75,43.14,16.04,11.35,39.37,7.44,7.36,27,2.46
23,2013-11-07,5067.757,0.01%,14.74,3.92,6.9,4.08,4.79,7.09,10.7,9.24,3.33,15.97,4.13,18.06,26.44,13.76,17.02,16.45,6.9,12.7,13.83,46.58,20.39,12.77,43.01,15.06,11.11,37.65,7.46,7.41,25.84,2.46
