,Beta,R-Square,,Group_beta,R-Square,residual,Average_return
sh.601877,0.2733,0.047,1,0.9306,0.709,0.057509,0.000290757
sh.600598,0.315,0.147,,,,,
sh.600066,0.546,0.301,,,,,
sh.600600,0.8172,0.459,,,,,
sh.600036,0.839,0.51,,,,,
sh.600547,0.8694,0.315,2,0.8471,0.392,0.057509,0.000862415
sh.601899,0.8768,0.38,,,,,
sh.600028,0.8956,0.51,,,,,
sh.601933,0.9152,0.211,,,,,
sh.600295,0.9265,0.395,,,,,
sh.600295.1,0.9265,0.395,3,0.9602,0.681,0.074701,0.000796755
sh.600196,0.9369,0.335,,,,,
sh.600536,0.977,0.145,,,,,
sh.600085,1.0081,0.485,,,,,
sh.600009,1.0127,0.474,,,,,
sh.600690,1.018,0.267,4,1.2516,0.73,0.070234,0.000697884
sh.600887,1.0459,0.271,,,,,
sh.601006,1.0483,0.532,,,,,
sh.600111,1.0636,0.387,,,,,
sh.601628,1.0636,0.512,,,,,
sh.600010,1.0683,0.259,5,1.2862,0.783,0.095915,0.000301326
sh.600406,1.132,0.433,,,,,
sh.600895,1.1537,0.342,,,,,
sh.600019,1.1679,0.579,,,,,
sh.600050,1.1808,0.546,,,,,
sh.600031,1.2142,0.566,6,1.3177,0.773,0.095915,0.000292003
sh.600068,1.2252,0.518,,,,,
sh.600875,1.2709,0.507,,,,,
sh.600048,1.2844,0.492,,,,,
sh.600150,1.2855,0.401,,,,,
,,,,,,,
