Year,sz.000002,sz.000006,sz.000007,sz.000011,sz.000014,sz.000031,sz.000036,sz.000042,sz.000043,sz.000046,sz.000069,sz.000402,sz.000502,sz.000514,sz.000517,sz.000537,sz.000540,sz.000558,sz.000560,sz.000573,sz.000608,sz.000615,sz.000616,sz.000620,sz.000631,sz.000656,sz.000667,sz.000668,sz.000671,sz.000691,sz.000718,sz.000732,sz.000736,sz.000797,sz.000838,sz.000897,sz.000909,sz.000926,sz.000961,sz.000965,sz.002016,sz.002077,sz.002133,sz.002146,sz.002147,sz.002208,sz.002244,sz.002285,sz.002377
2010-11-02,0.000947074,-9.03E-05,-0.010791816,0.002221869,0.004390017,0.004053376,-0.010796908,0.047275035,0.100317893,0.005548827,0.004518025,0.004053377,0.024138805,0.018601319,0.005870982,0.031844037,0.08174052,-0.00144345,-9.03E-05,0.010283174,0.020416364,-0.02192935,0.010643183,-9.03E-05,-0.010771178,0.011525358,0.005740634,0.024670113,0.026590626,-9.03E-05,0.008420368,-0.025791205,-0.023423603,0.011453742,0.012241569,-0.054256937,-0.022605798,0.001746277,0.03529993,0.003059336,0.012167136,-0.040304747,-0.006765837,0.0074569,-0.016537638,0.008046427,0.039644829,-0.007336647,-0.040849881
2010-11-03,0.019598849,0.005329784,0.008323192,0.021824378,-0.017931483,-0.004216817,-0.013077283,-0.033442446,-0.034214899,0.027012534,0.017493827,-0.008343365,-0.010842958,-0.012322686,0.001391211,-0.020426256,-0.033423603,-0.004155311,-9.03E-05,-0.026784315,-0.028459064,-0.001265358,0.012299111,-9.03E-05,-0.009536964,-0.023054779,-0.008785922,-0.011002195,0.007186237,-9.03E-05,0.017842219,0.03108479,0.044278331,0.027013867,0.029810062,-0.064701136,-0.022330143,-0.005589812,-0.021124451,-0.006369705,0.045318408,-0.01405675,-0.035036507,-0.033798135,-0.036210671,-0.010582603,-0.019994729,-0.009141365,-0.012161733
2010-11-04,-0.009236611,-9.03E-05,0.049969325,-0.002347606,0.00172626,0.006815807,0.019646572,0.000494525,0.03600804,0.000819648,-0.004598159,0.001296692,0.007518426,0.010229647,0.020619789,-0.004602905,0.025771799,0.00943354,-9.03E-05,0.012567958,0.00477591,0.016380318,0.006902737,-9.03E-05,0.002634526,0.008456739,-0.003014247,-0.00403038,-0.008346204,-9.03E-05,0.000945999,-0.008229805,-0.000907263,-0.001479159,-0.003316076,0.070553372,0.008033207,-0.001933588,-0.004566546,-0.010358832,0.031763012,0.042402648,0.005480761,-0.004741433,0.013095018,0.002356712,0.011282598,-0.008929398,0.034122829
2010-11-05,-0.001115911,0.02416849,0.026016427,-0.009140044,0.017135478,0.027344572,0.017114031,0.024456779,0.034009063,0.012637003,0.014249353,0.028995603,0.020405954,0.016252937,0.004257556,0.013509005,0.014130803,0.021473072,-9.03E-05,0.020743063,0.01928019,0.027687508,0.017270841,-9.03E-05,0.012137991,0.025333459,-9.03E-05,-0.000881409,0.052979449,-9.03E-05,0.008191303,0.013977725,0.030163205,-0.001481091,0.003145976,-0.022084405,0.020054774,0.014683507,0.039478075,0.011082914,0.031715156,-0.010959835,0.008219979,0.034177643,0.016348086,0.017810462,-0.010532037,0.004368707,-0.013992078
2010-11-08,0.016336835,0.039383414,0.006546898,0.035297858,0.02219137,0.011925751,0.044307193,0.089470483,0.004927651,-9.03E-05,0.032647825,0.009330995,0.010480555,0.022020283,0.025883756,0.044632449,-0.01857338,0.009144558,-9.03E-05,0.010113812,0.031976238,0.030315135,0.028919969,-9.03E-05,0.014674831,0.049496507,0.032167795,0.01257798,0.067103406,-9.03E-05,0.050217738,0.028811464,-0.004058524,0.013837307,0.010662418,0.004407481,0.036244643,0.061784161,0.053542948,0.018062848,0.001722967,0.010898741,0.020514126,0.017982019,0.011365256,0.019094382,0.030753886,0.020921864,0.022758539
2010-11-09,-0.04049431,-0.029204194,0.003206433,-0.019935915,-0.002705789,-0.021198449,-0.006163144,-0.031503883,-0.041459742,-0.026122586,-0.028908714,-0.025423603,0.018738182,0.015642277,-0.015561437,0.009327538,-0.047492868,0.010367246,-9.03E-05,-0.004130674,-0.01735149,0.006467107,-0.033257766,-9.03E-05,0.003877984,0.022547525,-0.011453906,0.005382756,-0.018608789,-9.03E-05,-0.035280886,0.050471528,0.003893794,0.013645994,0.003101219,0.034238088,-0.007712221,0.029044263,-0.014047577,-0.002415851,-0.027239591,0.024366252,-0.00547385,-0.036332874,-0.00808494,-0.01263929,-0.039460349,-0.017481574,0.020822278
2010-11-10,-0.036932375,-0.035292356,-0.025281946,-0.032711192,-0.023691669,-0.018958195,-9.03E-05,-0.033603784,0.001397825,-0.050781515,-0.037182258,-0.016506139,-0.022677539,-0.022355517,-0.014375984,-0.043347267,-0.010996882,-0.02466983,-9.03E-05,-0.012260655,-0.025851394,-0.001176046,-0.030965056,-9.03E-05,-0.027758254,-0.029926651,-0.011584523,-0.031972074,-0.028392157,-9.03E-05,-0.035551263,-0.015063532,0.015782746,-0.028545555,-0.017057396,0.038870769,0.020647057,-0.045885441,-0.056709754,-0.022623293,-9.03E-05,-0.009816176,-0.02444751,-0.035393417,0.020729072,-0.019947299,-0.028778795,-0.015429503,0.005961872
2010-11-11,0.003188419,-0.001441621,-0.011326225,-0.003578642,0.000804985,-9.03E-05,-0.010273569,-0.005123827,-0.022378532,0.003793225,0.002220978,0.001300551,-0.012695312,-0.009001161,-9.03E-05,-0.017820766,0.00128809,-0.01202661,-9.03E-05,0.006069894,-0.003696039,-0.019655487,-0.003630093,-9.03E-05,-0.006865338,-0.016955349,-0.002997247,-0.004106334,-0.012711629,-9.03E-05,-9.03E-05,-0.042435547,-9.03E-05,0.00409383,0.000988479,-0.040368048,-0.033950315,0.10025877,-0.009799008,0.030116407,-0.006601898,-0.017054556,-0.004251158,-0.00168136,0.005172888,-9.03E-05,0.007504667,-0.014470138,0.030913895
2010-11-12,-0.07089637,-0.085340609,-0.05009027,-0.085271133,-0.07969671,-0.06052983,-0.080337184,-0.08890421,-0.090515802,-0.083262417,-0.082334697,-0.06259027,-0.089451972,0.074834805,-0.074003313,-0.079512653,-0.085430945,-0.075258055,-9.03E-05,-0.07764129,-0.068847809,-0.098759893,-0.080019222,-9.03E-05,-9.03E-05,-0.050544357,-0.06131476,-0.058154786,-0.085635993,-9.03E-05,-0.088325564,-0.049976891,-0.05009027,-0.034812492,-0.057202339,-0.076790704,-0.088096501,-0.028639041,-0.099020751,0.067810965,-0.009453566,-0.099999443,-0.082262972,-0.071803417,-0.068153097,-0.083558665,-0.087192448,-0.058448933,-9.03E-05
2010-11-15,-9.03E-05,0.014702629,0.038187242,0.007562791,0.009627903,0.010143648,-0.002327406,0.016566115,0.014947324,0.01784222,0.016660149,0.016206026,0.010423749,0.033366979,0.012429292,0.010694044,-0.014386733,0.020229033,-9.03E-05,0.015396456,0.014158435,0.019589927,0.025006255,-9.03E-05,-0.056024786,0.01372482,0.02164886,0.007615209,0.024640913,-9.03E-05,0.007974246,-0.03230984,-0.026406059,0.033003255,0.060481159,0.014016313,0.000763701,0.036644424,-0.006024988,-9.03E-05,-0.029390837,0.041282081,0.042398349,-0.029274819,0.033617595,0.017593196,-0.012016876,-0.001058637,-0.044075907
