date,County,fips_code,Yield
1983,ADAMS,38001,13
1984,ADAMS,38001,10
2017,ADAMS,38001,13.8
2019,ADAMS,38001,35.9
1959,BARNES,38003,10
1960,BARNES,38003,10
1961,BARNES,38003,10
1962,BARNES,38003,14
1963,BARNES,38003,16.5
1964,BARNES,38003,11
1965,BARNES,38003,15
1966,BARNES,38003,22
1967,BARNES,38003,12
1968,BARNES,38003,14
1969,BARNES,38003,13.5
1970,BARNES,38003,16
1971,BARNES,38003,11
1972,BARNES,38003,20
1974,BARNES,38003,12.2
1977,BARNES,38003,20
1978,BARNES,38003,24.4
1979,BARNES,38003,25
1980,BARNES,38003,13.6
1981,BARNES,38003,24.5
1982,BARNES,38003,19
1983,BARNES,38003,18.5
1984,BARNES,38003,17
1985,BARNES,38003,20
1986,BARNES,38003,28
1987,BARNES,38003,29
1988,BARNES,38003,13
1989,BARNES,38003,16
1990,BARNES,38003,22
1991,BARNES,38003,24.4
1992,BARNES,38003,22.8
1993,BARNES,38003,15.4
1994,BARNES,38003,34.4
1995,BARNES,38003,30.5
1996,BARNES,38003,28
1997,BARNES,38003,29.1
1998,BARNES,38003,33
1999,BARNES,38003,31.7
2000,BARNES,38003,32.6
2001,BARNES,38003,33.9
2002,BARNES,38003,33.7
2003,BARNES,38003,30.1
2004,BARNES,38003,24.8
2005,BARNES,38003,39.7
2006,BARNES,38003,30.5
2007,BARNES,38003,36
2008,BARNES,38003,28
2009,BARNES,38003,30
2010,BARNES,38003,36.1
2011,BARNES,38003,28.7
2012,BARNES,38003,33.2
2013,BARNES,38003,29.1
2014,BARNES,38003,36.3
2015,BARNES,38003,34.7
2016,BARNES,38003,44.4
2017,BARNES,38003,36
2018,BARNES,38003,36.6
2019,BARNES,38003,31.9
1983,BENSON,38005,13
1984,BENSON,38005,11.8
1988,BENSON,38005,7.5
1989,BENSON,38005,5.3
1990,BENSON,38005,14
1991,BENSON,38005,16.1
1992,BENSON,38005,10
1993,BENSON,38005,9.3
1994,BENSON,38005,17.8
1995,BENSON,38005,15
1996,BENSON,38005,23.4
1997,BENSON,38005,19
1998,BENSON,38005,25.7
1999,BENSON,38005,25.2
2000,BENSON,38005,29.2
2001,BENSON,38005,30.5
2002,BENSON,38005,28
2003,BENSON,38005,26.3
2004,BENSON,38005,15.1
2005,BENSON,38005,31.3
2006,BENSON,38005,23.9
2007,BENSON,38005,32.8
2008,BENSON,38005,26
2009,BENSON,38005,28.5
2010,BENSON,38005,31.2
2011,BENSON,38005,29.5
2012,BENSON,38005,32.2
2013,BENSON,38005,31.2
2014,BENSON,38005,31.4
2015,BENSON,38005,25.5
2016,BENSON,38005,38.4
2017,BENSON,38005,33.1
2018,BENSON,38005,29.4
1983,BOTTINEAU,38009,17.3
